id,title,address,price,bedrooms,bathrooms,rooms,location
1,Luxury Condominium at The Grand,897 Sukhumvit Road, Sukhumvit, Bangkok 10110, Thailand,20794492,1,1,5,Sukhumvit, Bangkok, Thailand
2,Modern Apartment at Sky Tower,590 Silom Road, Sathorn, Bangkok 10120, Thailand,19275839,2,2,7,Sathorn, Bangkok, Thailand
3,Studio Unit at Riverside Residences,229 Sathorn Road, Silom, Bangkok 10500, Thailand,21777995,3,4,8,Silom, Bangkok, Thailand
4,Penthouse Suite at Central Park,76 Ratchadamri Road, Phrom Phong, Bangkok 10110, Thailand,11880811,4,5,10,Phrom Phong, Bangkok, Thailand
5,Executive Condo at Ocean View,614 Wireless Road, Thong Lo, Bangkok 10110, Thailand,12723017,1,1,3,Thong Lo, Bangkok, Thailand
6,Waterfront Residence at Metro Heights,90 Ploenchit Road, Ekkamai, Bangkok 10110, Thailand,12726941,2,2,6,Ekkamai, Bangkok, Thailand
7,Sky Villa at Garden Plaza,574 Rama IV Road, Asok, Bangkok 10110, Thailand,9904851,3,4,10,Asok, Bangkok, Thailand
8,Garden View Unit at Crystal Tower,337 Charoen Krung Road, Chidlom, Bangkok 10330, Thailand,15284790,4,5,10,Chidlom, Bangkok, Thailand
9,Townhouse at Sunset Residences,941 Thanon Phra Athit, Lumpini, Bangkok 10330, Thailand,17767635,1,1,4,Lumpini, Bangkok, Thailand
10,Luxury Villa at Prime Location,188 Soi Thong Lo, Riverside, Bangkok 10500, Thailand,12933135,2,2,5,Riverside, Bangkok, Thailand
11,Luxury Condominium at Royal Residence,114 Main Street, Old City, Chiang Mai 50200, Thailand,8061433,3,4,10,Old City, Chiang Mai, Thailand
12,Modern Apartment at Elite Tower,868 Beach Road, Nimman, Chiang Mai 50200, Thailand,5348141,4,5,12,Nimman, Chiang Mai, Thailand
13,Studio Unit at Paradise Condo,340 Park Avenue, Airport, Chiang Mai 50100, Thailand,9507935,1,1,4,Airport, Chiang Mai, Thailand
14,Penthouse Suite at Golden Heights,378 Riverside Drive, Patong, Phuket 83150, Thailand,9192709,2,2,7,Patong, Phuket, Thailand
15,Executive Condo at Platinum Plaza,884 Central Avenue, Kata, Phuket 83100, Thailand,5355144,3,4,9,Kata, Phuket, Thailand
16,Waterfront Residence at The Grand,478 Sukhumvit Road, Karon, Phuket 83100, Thailand,6041550,4,5,12,Karon, Phuket, Thailand
17,Sky Villa at Sky Tower,657 Silom Road, Bang Tao, Phuket 83110, Thailand,7308372,1,1,5,Bang Tao, Phuket, Thailand
18,Garden View Unit at Riverside Residences,182 Sathorn Road, Kamala, Phuket 83120, Thailand,6146716,2,2,5,Kamala, Phuket, Thailand
19,Townhouse at Central Park,284 Ratchadamri Road, North Pattaya, Chonburi 20150, Thailand,8068705,3,4,9,North Pattaya, Chonburi, Thailand
20,Luxury Villa at Ocean View,215 Wireless Road, Central Pattaya, Chonburi 20150, Thailand,9943207,4,5,12,Central Pattaya, Chonburi, Thailand
21,Luxury Condominium at Metro Heights,954 Ploenchit Road, Jomtien, Chonburi 20260, Thailand,6492288,1,1,3,Jomtien, Chonburi, Thailand
22,Modern Apartment at Garden Plaza,405 Rama IV Road, Naklua, Chonburi 20150, Thailand,9671371,2,2,6,Naklua, Chonburi, Thailand
23,Studio Unit at Crystal Tower,829 Charoen Krung Road, Beach Road, Prachuap Khiri Khan 77110, Thailand,6020377,3,4,10,Beach Road, Prachuap Khiri Khan, Thailand
24,Penthouse Suite at Sunset Residences,153 Thanon Phra Athit, Market Village, Prachuap Khiri Khan 77110, Thailand,7694578,4,5,11,Market Village, Prachuap Khiri Khan, Thailand
25,Executive Condo at Prime Location,323 Soi Thong Lo, Black Mountain, Prachuap Khiri Khan 77110, Thailand,7092678,1,1,5,Black Mountain, Prachuap Khiri Khan, Thailand
26,Waterfront Residence at Royal Residence,78 Main Street, Bang Na, Bangkok 10260, Thailand,8695831,2,2,6,Bang Na, Bangkok, Thailand
27,Sky Villa at Elite Tower,105 Beach Road, On Nut, Bangkok 10250, Thailand,13258545,3,4,9,On Nut, Bangkok, Thailand
28,Garden View Unit at Paradise Condo,802 Park Avenue, Bearing, Bangkok 10110, Thailand,12918854,4,5,11,Bearing, Bangkok, Thailand
29,Townhouse at Golden Heights,494 Riverside Drive, Udom Suk, Bangkok 10260, Thailand,12388678,1,1,5,Udom Suk, Bangkok, Thailand
30,Luxury Villa at Platinum Plaza,417 Central Avenue, Punnawithi, Bangkok 10110, Thailand,14611100,2,2,7,Punnawithi, Bangkok, Thailand
31,Luxury Condominium at The Grand,598 Sukhumvit Road, Orchard, Singapore 238801, Singapore,1290809,3,4,9,Orchard, Singapore, Singapore
32,Modern Apartment at Sky Tower,445 Silom Road, Marina Bay, Singapore 018956, Singapore,1857156,4,5,11,Marina Bay, Singapore, Singapore
33,Studio Unit at Riverside Residences,902 Sathorn Road, Sentosa, Singapore 099538, Singapore,1041398,1,1,5,Sentosa, Singapore, Singapore
34,Penthouse Suite at Central Park,923 Ratchadamri Road, Clarke Quay, Singapore 059817, Singapore,831690,2,2,5,Clarke Quay, Singapore, Singapore
35,Executive Condo at Ocean View,168 Wireless Road, Robertson Quay, Singapore 238801, Singapore,868026,3,4,9,Robertson Quay, Singapore, Singapore
36,Waterfront Residence at Metro Heights,966 Ploenchit Road, River Valley, Singapore 238801, Singapore,1299585,4,5,10,River Valley, Singapore, Singapore
37,Sky Villa at Garden Plaza,399 Rama IV Road, Newton, Singapore 307683, Singapore,1313008,1,1,4,Newton, Singapore, Singapore
38,Garden View Unit at Crystal Tower,834 Charoen Krung Road, Novena, Singapore 307683, Singapore,828033,2,2,7,Novena, Singapore, Singapore
39,Townhouse at Sunset Residences,699 Thanon Phra Athit, Harbourfront, Singapore 099538, Singapore,1023591,3,4,9,Harbourfront, Singapore, Singapore
40,Luxury Villa at Prime Location,520 Soi Thong Lo, East Coast, Singapore 428795, Singapore,1202548,4,5,11,East Coast, Singapore, Singapore
41,Luxury Condominium at Royal Residence,981 Main Street, KLCC, Kuala Lumpur 50088, Malaysia,958469,1,1,5,KLCC, Kuala Lumpur, Malaysia
42,Modern Apartment at Elite Tower,914 Beach Road, Bukit Bintang, Kuala Lumpur 50250, Malaysia,1448734,2,2,6,Bukit Bintang, Kuala Lumpur, Malaysia
43,Studio Unit at Paradise Condo,471 Park Avenue, Mont Kiara, Kuala Lumpur 50480, Malaysia,1491538,3,4,8,Mont Kiara, Kuala Lumpur, Malaysia
44,Penthouse Suite at Golden Heights,939 Riverside Drive, Bangsar, Kuala Lumpur 59000, Malaysia,959636,4,5,11,Bangsar, Kuala Lumpur, Malaysia
45,Executive Condo at Platinum Plaza,978 Central Avenue, KL Sentral, Kuala Lumpur 50470, Malaysia,1402778,1,1,4,KL Sentral, Kuala Lumpur, Malaysia
46,Waterfront Residence at The Grand,301 Sukhumvit Road, Georgetown, Penang 10200, Malaysia,1088148,2,2,5,Georgetown, Penang, Malaysia
47,Sky Villa at Sky Tower,352 Silom Road, Batu Ferringhi, Penang 11100, Malaysia,947041,3,4,8,Batu Ferringhi, Penang, Malaysia
48,Garden View Unit at Riverside Residences,886 Sathorn Road, Tanjung Bungah, Penang 11200, Malaysia,1193768,4,5,10,Tanjung Bungah, Penang, Malaysia
49,Townhouse at Central Park,919 Ratchadamri Road, Gurney Drive, Penang 10250, Malaysia,1709157,1,1,5,Gurney Drive, Penang, Malaysia
50,Luxury Villa at Ocean View,516 Wireless Road, Bayan Lepas, Penang 11900, Malaysia,1331017,2,2,6,Bayan Lepas, Penang, Malaysia
51,Luxury Condominium at Metro Heights,40 Ploenchit Road, Central Jakarta, Jakarta 10110, Indonesia,5537899,3,4,9,Central Jakarta, Jakarta, Indonesia
52,Modern Apartment at Garden Plaza,444 Rama IV Road, South Jakarta, Jakarta 12190, Indonesia,8960314,4,5,11,South Jakarta, Jakarta, Indonesia
53,Studio Unit at Crystal Tower,915 Charoen Krung Road, North Jakarta, Jakarta 14450, Indonesia,6421255,1,1,4,North Jakarta, Jakarta, Indonesia
54,Penthouse Suite at Sunset Residences,293 Thanon Phra Athit, Sanur, Denpasar 80228, Indonesia,8764693,2,2,6,Sanur, Denpasar, Indonesia
55,Executive Condo at Prime Location,543 Soi Thong Lo, Seminyak, Denpasar 80361, Indonesia,6177382,3,4,8,Seminyak, Denpasar, Indonesia
56,Waterfront Residence at Royal Residence,378 Main Street, Ubud, Denpasar 80571, Indonesia,9822527,4,5,11,Ubud, Denpasar, Indonesia
57,Sky Villa at Elite Tower,26 Beach Road, Canggu, Denpasar 80351, Indonesia,7616307,1,1,4,Canggu, Denpasar, Indonesia
58,Garden View Unit at Paradise Condo,101 Park Avenue, Nusa Dua, Denpasar 80363, Indonesia,7681618,2,2,6,Nusa Dua, Denpasar, Indonesia
59,Townhouse at Golden Heights,462 Riverside Drive, Makati, Manila 1200, Philippines,8613307,3,4,10,Makati, Manila, Philippines
60,Luxury Villa at Platinum Plaza,114 Central Avenue, BGC, Manila 1630, Philippines,5276862,4,5,11,BGC, Manila, Philippines
61,Luxury Condominium at The Grand,167 Sukhumvit Road, Ortigas, Manila 1605, Philippines,9754838,1,1,3,Ortigas, Manila, Philippines
62,Modern Apartment at Sky Tower,631 Silom Road, Quezon City, Manila 1100, Philippines,6758530,2,2,5,Quezon City, Manila, Philippines
63,Studio Unit at Riverside Residences,493 Sathorn Road, Alabang, Manila 1780, Philippines,6911859,3,4,8,Alabang, Manila, Philippines
64,Penthouse Suite at Central Park,562 Ratchadamri Road, Cebu City, Cebu 6000, Philippines,6294333,4,5,11,Cebu City, Cebu, Philippines
65,Executive Condo at Ocean View,144 Wireless Road, IT Park, Cebu 6000, Philippines,5213000,1,1,3,IT Park, Cebu, Philippines
66,Waterfront Residence at Metro Heights,690 Ploenchit Road, Ayala Center, Cebu 6000, Philippines,6440377,2,2,6,Ayala Center, Cebu, Philippines
67,Sky Villa at Garden Plaza,103 Rama IV Road, District 1, Ho Chi Minh City 700000, Vietnam,9419287,3,4,8,District 1, Ho Chi Minh City, Vietnam
68,Garden View Unit at Crystal Tower,896 Charoen Krung Road, District 2, Ho Chi Minh City 700000, Vietnam,9987275,4,5,11,District 2, Ho Chi Minh City, Vietnam
69,Townhouse at Sunset Residences,976 Thanon Phra Athit, District 3, Ho Chi Minh City 700000, Vietnam,9288558,1,1,5,District 3, Ho Chi Minh City, Vietnam
70,Luxury Villa at Prime Location,668 Soi Thong Lo, District 7, Ho Chi Minh City 700000, Vietnam,6341731,2,2,7,District 7, Ho Chi Minh City, Vietnam
71,Luxury Condominium at Royal Residence,654 Main Street, Hoan Kiem, Hanoi 100000, Vietnam,6034122,3,4,10,Hoan Kiem, Hanoi, Vietnam
72,Modern Apartment at Elite Tower,92 Beach Road, Ba Dinh, Hanoi 100000, Vietnam,6508026,4,5,12,Ba Dinh, Hanoi, Vietnam
73,Studio Unit at Paradise Condo,208 Park Avenue, Tay Ho, Hanoi 100000, Vietnam,6724075,1,1,3,Tay Ho, Hanoi, Vietnam
74,Penthouse Suite at Golden Heights,365 Riverside Drive, Cau Giay, Hanoi 100000, Vietnam,8364772,2,2,6,Cau Giay, Hanoi, Vietnam
