title,price,location,description,bedrooms,bathrooms,area,propertyTypeCode,statusCode,address,images
"คอนโดมิเนียมหรูในสุขุมวิท",8500000,"กรุงเทพมหานคร, ประเทศไทย","คอนโดมิเนียมสไตล์โมเดิร์นสวยงามพร้อมวิวเมืองและสิ่งอำนวยความสะดวกระดับพรีเมียม",3,2,120,CONDO,AVAILABLE,"ถนนสุขุมวิท 10","https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=800&h=600&fit=crop"
"อพาร์ตเมนต์โมเดิร์นในสีลม",4200000,"กรุงเทพมหานคร, ประเทศไทย","อพาร์ตเมนต์กว้างขวางในย่านธุรกิจชั้นนำพร้อมสิ่งอำนวยความสะดวกครบครัน",2,1,65,APARTMENT,AVAILABLE,"ถนนสีลม 20","https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1484154218962-a197022b5858?w=800&h=600&fit=crop"
"บ้านกว้างขวางในราชดำริ",15000000,"กรุงเทพมหานคร, ประเทศไทย","บ้านสไตล์โมเดิร์นเหมาะสำหรับครอบครัวพร้อมสวนและดีไซน์ทันสมัย",4,3,200,HOUSE,AVAILABLE,"ถนนราชดำริ 30","https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600607687644-c7171b42498b?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600585152915-d0bec72f2751?w=800&h=600&fit=crop"
"วิลล่าหรูในเพชรบุรี",25000000,"กรุงเทพมหานคร, ประเทศไทย","วิลล่าหรูพร้อมสระว่ายน้ำส่วนตัวและงานตกแต่งระดับพรีเมียม",5,4,350,VILLA,AVAILABLE,"ถนนเพชรบุรี 40","https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=800&h=600&fit=crop"
"สตูดิโอสวยงามในถนนพระราม 4",1800000,"กรุงเทพมหานคร, ประเทศไทย","สตูดิโอขนาดกะทัดรัดเหมาะสำหรับคนทำงานรุ่นใหม่",1,1,35,APARTMENT,PENDING,"ถนนพระราม 4 50","https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1484154218962-a197022b5858?w=800&h=600&fit=crop"
"เพนต์เฮาส์พรีเมียมในเจริญกรุง",32000000,"กรุงเทพมหานคร, ประเทศไทย","เพนต์เฮาส์หรูพิเศษพร้อมวิวเมืองแบบพาโนรามา",4,3,280,CONDO,SOLD,"ถนนเจริญกรุง 60","https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=800&h=600&fit=crop"
"บ้านครอบครัวในสาทร",12000000,"กรุงเทพมหานคร, ประเทศไทย","บ้านครอบครัวที่สมบูรณ์แบบในย่านเงียบสงบ",3,2,180,HOUSE,AVAILABLE,"ถนนสาทร 70","https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600607687644-c7171b42498b?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600585152915-d0bec72f2751?w=800&h=600&fit=crop"
"ทาวน์เฮาส์สไตล์ในไวร์เลส",9800000,"กรุงเทพมหานคร, ประเทศไทย","ทาวน์เฮาส์โมเดิร์นพร้อมดีไซน์ร่วมสมัย",3,2,150,TOWNHOUSE,AVAILABLE,"ถนนไวร์เลส 80","https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600566752355-35792bedcfea?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=800&h=600&fit=crop"
"อพาร์ตเมนต์ร่วมสมัยในนิมมาน",3500000,"เชียงใหม่, ประเทศไทย","อพาร์ตเมนต์โมเดิร์นในย่านนิมมานเทรนดี้",2,1,55,APARTMENT,AVAILABLE,"ถนนนิมมานเหมินทร์ 90","https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1484154218962-a197022b5858?w=800&h=600&fit=crop"
"บ้านสวยงามในป่าตอง",6800000,"ภูเก็ต, ประเทศไทย","บ้านสวยงามใกล้ชายหาดพร้อมสวนสไตล์ทรอปิคอล",3,2,160,HOUSE,RENTED,"ถนนป่าตอง 100","https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600607687644-c7171b42498b?w=800&h=600&fit=crop,https://images.unsplash.com/photo-1600585152915-d0bec72f2751?w=800&h=600&fit=crop"
