address,cityCode,district,subDistrict,postalCode,latitude,longitude
"ถนนสุขุมวิท 10",BKK01,คลองเตย,วัฒนา,10110,13.7300,100.5600
"ถนนสีลม 20",BKK01,บางรัก,สีลม,10500,13.7250,100.5350
"ถนนราชดำริ 30",BKK01,ปทุมวัน,ลุมพินี,10330,13.7400,100.5400
"ถนนเพชรบุรี 40",BKK01,ราชเทวี,ถนนเพชรบุรี,10400,13.7500,100.5450
"ถนนพระราม 4 50",BKK01,คลองเตย,คลองตัน,10110,13.7200,100.5500
"ถนนเจริญกรุง 60",BKK01,บางรัก,บางรัก,10500,13.7300,100.5200
"ถนนสาทร 70",BKK01,บางรัก,สีลม,10500,13.7200,100.5300
"ถนนไวร์เลส 80",BKK01,ปทุมวัน,ลุมพินี,10330,13.7450,100.5450
"ถนนนิมมานเหมินทร์ 90",CM01,เมืองเชียงใหม่,นิมมานเหมินทร์,50200,18.7900,98.9800
"ถนนป่าตอง 100",PK01,กะทู้,ป่าตอง,83150,7.8800,98.2900
"ถนนชายหาด 110",PT01,บางเสร่,บางเสร่,20150,12.9200,100.8800
"ถนนเพชรเกษม 120",LP01,เมืองลำปาง,สบตุ๋ย,52000,18.2900,99.5000
"ถนนมิตรภาพ 130",RB01,เมืองราชบุรี,หน้าเมือง,70000,13.5400,99.8100
"ถนนนิติโย 140",SR01,เมืองสุราษฎร์ธานี,ตลาด,84000,9.1400,99.3200
"ถนนนิพัทธ์อุทิศ 150",TR01,เมืองตรัง,ทับเที่ยง,92000,7.5600,99.6100
"ถนนเพชรเกษม 160",YK01,เมืองยะลา,สะเตง,95000,6.5400,101.2800
"ถนนพหลโยธิน 170",NS01,เมืองนครศรีธรรมราช,ในเมือง,80000,8.4300,99.9600
"ถนนรัชดาภิเษก 180",PS01,เมืองพิษณุโลก,ในเมือง,65000,16.8200,100.2600
"ถนนลาดพร้าว 190",SK01,เมืองสกลนคร,ธาตุเชิงชุม,47000,17.1600,104.1500
"ถนนรามคำแหง 200",YS01,เมืองยโสธร,ในเมือง,35000,15.8000,104.1500
