title,price,location,description,bedrooms,bathrooms,area,propertyType,status,addressId,images
"Spacious House in Bangna 1",43975028,"Pattaya, Thailand","Beautiful property with modern amenities",5,4,149,VILLA,PENDING,"ADDRESS_ID_1","https://picsum.photos/800/600?random=1,https://picsum.photos/800/600?random=2,https://picsum.photos/800/600?random=3"
"Luxury Penthouse in Pathumwan 2",40996328,"Kanchanaburi, Thailand","Beautiful property with modern amenities",4,1,146,CONDO,PENDING,"ADDRESS_ID_2","https://picsum.photos/800/600?random=2,https://picsum.photos/800/600?random=3,https://picsum.photos/800/600?random=4"
"Cozy Studio in Asoke 3",3861308,"Kanchanaburi, Thailand","Spacious and well-maintained property",5,2,205,TOWNHOUSE,RENTED,"ADDRESS_ID_3","https://picsum.photos/800/600?random=3,https://picsum.photos/800/600?random=4,https://picsum.photos/800/600?random=5"
"Cozy Apartment in Victory Monument 4",9559711,"Pattaya, Thailand","Luxury property with stunning views",3,3,137,VILLA,AVAILABLE,"ADDRESS_ID_4","https://picsum.photos/800/600?random=4,https://picsum.photos/800/600?random=5,https://picsum.photos/800/600?random=6"
"Premium House in Rama 9 5",35754794,"Pattaya, Thailand","Prime location with excellent facilities",3,4,272,HOUSE,RENTED,"ADDRESS_ID_5","https://picsum.photos/800/600?random=5,https://picsum.photos/800/600?random=6,https://picsum.photos/800/600?random=7"
"Premium Penthouse in Sathorn 6",14673769,"Phuket, Thailand","Prime location with excellent facilities",3,4,146,CONDO,RENTED,"ADDRESS_ID_6","https://picsum.photos/800/600?random=6,https://picsum.photos/800/600?random=7,https://picsum.photos/800/600?random=8"
"Modern Condo in On Nut 7",47371019,"Bangkok, Thailand","Modern design with premium features",1,4,252,HOUSE,AVAILABLE,"ADDRESS_ID_7","https://picsum.photos/800/600?random=7,https://picsum.photos/800/600?random=8,https://picsum.photos/800/600?random=9"
"Charming House in Ari 8",43724809,"Bangkok, Thailand","Beautiful property with modern amenities",1,2,145,APARTMENT,SOLD,"ADDRESS_ID_8","https://picsum.photos/800/600?random=8,https://picsum.photos/800/600?random=9,https://picsum.photos/800/600?random=10"
"Luxury Condominium in Sukhumvit 9",19154863,"Ayutthaya, Thailand","Modern design with premium features",1,4,280,VILLA,SOLD,"ADDRESS_ID_9","https://picsum.photos/800/600?random=9,https://picsum.photos/800/600?random=10,https://picsum.photos/800/600?random=11"
"Stylish Condo in Thonburi 10",8531002,"Pattaya, Thailand","Beautiful property with modern amenities",1,4,271,APARTMENT,PENDING,"ADDRESS_ID_10","https://picsum.photos/800/600?random=10,https://picsum.photos/800/600?random=11,https://picsum.photos/800/600?random=12"
"Premium Penthouse in Sathorn 11",37273286,"Kanchanaburi, Thailand","Perfect for families and professionals",2,2,188,CONDO,RENTED,"ADDRESS_ID_11","https://picsum.photos/800/600?random=11,https://picsum.photos/800/600?random=12,https://picsum.photos/800/600?random=13"
"Modern Apartment in Huai Khwang 12",9892281,"Phuket, Thailand","Great investment opportunity",1,3,100,CONDO,RENTED,"ADDRESS_ID_12","https://picsum.photos/800/600?random=12,https://picsum.photos/800/600?random=13,https://picsum.photos/800/600?random=14"
"Charming House in Ari 13",10211353,"Hua Hin, Thailand","Modern design with premium features",3,4,155,APARTMENT,PENDING,"ADDRESS_ID_13","https://picsum.photos/800/600?random=13,https://picsum.photos/800/600?random=14,https://picsum.photos/800/600?random=15"
"Cozy Studio in Asoke 14",7572315,"Phuket, Thailand","Peaceful neighborhood with easy access",3,1,183,CONDO,RENTED,"ADDRESS_ID_14","https://picsum.photos/800/600?random=14,https://picsum.photos/800/600?random=15,https://picsum.photos/800/600?random=16"
"Luxury Apartment in Ratchada 15",18326434,"Krabi, Thailand","Luxury property with stunning views",1,1,136,CONDO,PENDING,"ADDRESS_ID_15","https://picsum.photos/800/600?random=15,https://picsum.photos/800/600?random=16,https://picsum.photos/800/600?random=17"
"Charming House in Ari 16",11818541,"Kanchanaburi, Thailand","Convenient location near public transport",1,3,112,APARTMENT,AVAILABLE,"ADDRESS_ID_16","https://picsum.photos/800/600?random=16,https://picsum.photos/800/600?random=17,https://picsum.photos/800/600?random=18"
"Modern Apartment in Silom 17",48265254,"Bangkok, Thailand","Spacious and well-maintained property",2,4,79,VILLA,SOLD,"ADDRESS_ID_17","https://picsum.photos/800/600?random=17,https://picsum.photos/800/600?random=18,https://picsum.photos/800/600?random=19"
"Modern Apartment in Huai Khwang 18",22149968,"Bangkok, Thailand","Convenient location near public transport",4,2,199,TOWNHOUSE,SOLD,"ADDRESS_ID_18","https://picsum.photos/800/600?random=18,https://picsum.photos/800/600?random=19,https://picsum.photos/800/600?random=20"
"Premium House in Rama 9 19",10310382,"Bangkok, Thailand","Perfect for families and professionals",3,3,174,HOUSE,AVAILABLE,"ADDRESS_ID_19","https://picsum.photos/800/600?random=19,https://picsum.photos/800/600?random=20,https://picsum.photos/800/600?random=21"
"Family Home in Phra Khanong 20",32318866,"Bangkok, Thailand","Luxury property with stunning views",2,2,251,TOWNHOUSE,RENTED,"ADDRESS_ID_20","https://picsum.photos/800/600?random=20,https://picsum.photos/800/600?random=21,https://picsum.photos/800/600?random=22"
